#{"t_start": 1780584273.361564, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
565.309297,10,1.543117,1.0,True,10,0,0,553.3140869140625,709.4694480895996,21.864292907714844,553.3140869140625,completed
729.514871,10,1.551665,1.0,True,10,0,0,441.90241622924805,583.7530708312988,23.910765075683592,441.90241622924805,completed
447.678903,10,1.559422,1.0,True,10,0,0,375.680006980896,571.1507511138916,38.18236331939697,375.680006980896,completed
738.76197,10,1.567228,1.0,True,10,0,0,483.6157627105713,556.1410694122314,21.21566982269287,483.6157627105713,completed
-86.266565,10,1.575106,1.0,True,10,0,0,722.5080509185791,722.5080509185791,44.90014390945434,722.5080509185791,completed
109.663935,10,1.583106,1.0,True,10,0,0,569.8130512237549,774.3324661254883,39.33412609100342,569.8130512237549,completed
343.373832,10,1.591491,1.0,True,10,0,0,522.7939414978027,795.9396476745605,27.87080955505371,522.7939414978027,completed
437.104153,10,1.599354,1.0,True,10,0,0,415.14064025878906,649.3505859375,34.47629089355469,415.14064025878906,completed
1158.122811,10,1.608114,1.0,True,10,0,0,398.4990882873535,509.6401176452637,11.60868034362793,398.4990882873535,completed
708.500694,10,1.61651,1.0,True,10,0,0,545.2680053710938,692.170051574707,15.897572326660157,545.2680053710938,completed
364.959513,10,1.624707,1.0,True,10,0,0,589.3050603866577,762.0450420379639,27.910395240783693,589.3050603866577,completed
828.70741,10,1.632654,1.0,True,10,0,0,485.8213005065918,616.1341590881348,18.35261173248291,485.8213005065918,completed
1054.381665,10,1.640877,1.0,True,10,0,0,490.1219711303711,490.1219711303711,13.870549201965332,490.1219711303711,completed
-145.89693,10,1.650281,1.0,True,10,0,0,712.9925346374512,986.3721389770508,36.1546028137207,712.9925346374512,completed
1048.538377,10,1.658901,1.0,True,10,0,0,457.41651153564453,600.545280456543,9.070595359802246,457.41651153564453,completed
768.846119,10,1.667488,1.0,True,10,0,0,484.55597400665283,695.4479160308838,14.521379470825195,484.55597400665283,completed
90.80549,10,1.676057,1.0,True,10,0,0,568.1677150726318,889.0184650421143,34.01867847442627,568.1677150726318,completed
205.264109,10,1.685216,1.0,True,10,0,0,559.9357204437256,797.5161418914795,36.07533512115479,559.9357204437256,completed
1031.237553,10,1.693786,1.0,True,10,0,0,430.80932807922363,601.3478660583496,10.689709854125976,430.80932807922363,completed
951.980658,10,1.701932,1.0,True,10,0,0,402.394736289978,444.7432498931885,20.368246269226074,402.394736289978,completed
184.671959,10,1.710188,1.0,True,10,0,0,592.4977264404297,760.9109935760498,34.39136562347412,592.4977264404297,completed
1300.92628,10,1.718934,1.0,True,10,0,0,394.1702947616577,466.30444145202637,5.731832885742188,394.1702947616577,completed
1198.911851,10,1.726949,1.0,True,10,0,0,426.1715564727783,528.6565952301025,8.943148040771485,426.1715564727783,completed
578.303456,10,1.737087,1.0,True,10,0,0,560.0536003112793,763.9155235290527,18.0178653717041,560.0536003112793,completed
490.818378,10,1.745055,1.0,True,10,0,0,529.9195823669434,760.1223258972168,24.754765701293945,529.9195823669434,completed
374.064992,10,1.753088,1.0,True,10,0,0,460.43531227111816,691.1404075622559,32.720968627929686,460.43531227111816,completed
906.209071,10,1.76096,1.0,True,10,0,0,468.4652199745178,571.9289274215698,16.179498863220214,468.4652199745178,completed
