size,method,mean_makespan,std_makespan,mean_penalized_makespan,mean_total_distance,completion_rate,feasibility_rate,mean_served_customers,mean_unserved_customers,mean_invalid_actions,mean_total_reward,mean_gap_to_nn_makespan_percent,mean_gap_to_nn_distance_percent,mean_runtime,avg_runtime_seconds,std_runtime_seconds,avg_inference_runtime_seconds,avg_evaluation_runtime_seconds,avg_training_runtime_seconds,avg_total_runtime_seconds,improvement_vs_greedy,improvement_vs_random,penalized_improvement_vs_greedy,penalized_improvement_vs_random
10,vns,322.2078919440508,38.66635770005048,322.2078919440508,397.9699742805958,1.0,1.0,10.0,0.0,0.0,1436.9902746694088,-16.612684590140123,-21.630274065800744,0.9319210557988845,0.9319210557988845,0.26688409425557763,0.9312746400164906,0.0006464157823938876,0.0,0.9319210557988845,17.791499139344022,46.484338460325596,17.791499139344022,46.484338460325596
10,ppo,362.4695182543993,50.530657604667994,362.4695182543993,464.4523800384998,1.0,1.0,10.0,0.0,0.0,1511.6206710050108,-6.326041008644276,-8.994807731423606,0.004098699189489708,0.004098699189489708,0.017428291657401448,0.004094782103784382,3.917085705325008e-06,73.25751087500248,0.004098699189489708,7.519100405670463,39.797265857412455,7.519100405670463,39.797265857412455
10,drone_priority,381.2977716481686,43.34349285281048,381.2977716481686,762.5955432963372,1.0,1.0,10.0,0.0,0.0,922.366239385128,-1.0254488478852044,53.0745337599968,0.00026375795248895884,0.00026375795248895884,1.2160794314791522e-05,0.0002585938072297722,5.164145259186625e-06,0.0,0.00026375795248895884,2.715237669759878,36.67007232430326,2.715237669759878,36.67007232430326
10,nearest_neighbor,391.93987065911296,66.89840329120089,391.93987065911296,523.3930848479271,1.0,1.0,10.0,0.0,0.0,1179.1036842718124,0.0,0.0,0.00012986673275008798,0.00012986673275008798,2.8684993102235133e-06,0.0001256796601228416,4.18707262724638e-06,0.0,0.00012986673275008798,0.0,34.9025210538946,0.0,34.9025210538946
10,random_valid,602.0814891827107,116.39227565935671,602.0814891827107,782.6607548546791,1.0,1.0,10.0,0.0,0.0,767.8242761502266,56.324350253681196,55.86293201847233,0.0001282954099588096,0.0001282954099588096,4.03760400514581e-05,0.0001225525012705475,5.742908688262105e-06,0.0,0.0001282954099588096,-53.61577993333753,0.0,-53.61577993333753,0.0
20,vns,478.77103755414487,45.3040218890886,478.77103755414487,592.4923460185528,1.0,1.0,20.0,0.0,0.0,2194.45828916049,-18.52335702761121,-24.44285012669752,5.022349089545896,5.022349089545896,1.5127866611529952,5.020628521288745,0.0017205682571511715,0.0,5.022349089545896,19.82145865139622,60.15744534205518,19.82145865139622,60.15744534205518
20,ppo,559.5402146786452,74.8901334725075,559.5402146786452,734.8535294854642,1.0,1.0,20.0,0.0,0.0,2328.6748728606703,-4.904085084403196,-6.5256247701902215,0.007060391586273909,0.007060391586273909,0.009497605730629336,0.0070543603703845294,6.031215889379382e-06,168.0290016249055,0.007060391586273909,6.29525447486001,53.435964504993905,6.29525447486001,53.435964504993905
20,nearest_neighbor,597.1311394560337,100.70713924186164,597.1311394560337,810.0353790402412,1.0,1.0,20.0,0.0,0.0,1730.6823993821145,0.0,0.0,0.00041271371650509537,0.00041271371650509537,3.845144713020713e-05,0.00040583617286756637,6.877543637529016e-06,0.0,0.00041271371650509537,0.0,50.307708287288975,0.0,50.307708287288975
20,drone_priority,769.6813488674164,73.52979894762498,769.6813488674164,1539.3626977348329,1.0,1.0,20.0,0.0,0.0,824.892223171234,31.761771392056453,100.06293830825969,0.0009202758630272001,0.0009202758630272001,3.72807687636452e-05,0.000911835003644228,8.44085938297212e-06,0.0,0.0009202758630272001,-28.896535117657766,35.94835776175649,-28.896535117657766,35.94835776175649
20,random_valid,1201.6574782025814,162.55388208296614,1201.6574782025814,1562.9322921609878,1.0,1.0,20.0,0.0,0.0,539.7799917013645,106.26852588818197,101.75167134043063,0.00029910544981248677,0.00029910544981248677,0.00041117433765256475,0.00029031382757239044,8.791622240096331e-06,0.0,0.00029910544981248677,-101.23845480529634,0.0,-101.23845480529634,0.0
30,vns,614.6361988955737,50.963257668052215,614.6361988955737,767.7056209027767,1.0,1.0,30.0,0.0,0.0,2987.370122548103,-16.897753931662987,-23.22393440802462,12.562667199168354,12.562667199168354,3.681155424835539,12.559332507100189,0.003334692068165168,0.0,12.562667199168354,17.704773659639685,65.48473453112418,17.704773659639685,65.48473453112418
30,ppo,720.8348351949453,77.7127016786482,720.8348351949453,967.7659247648716,1.0,1.0,30.0,0.0,0.0,3217.621081077099,-1.8950092727092736,-2.3652711175028127,0.01697137623326853,0.01697137623326853,0.022509576210490333,0.01696326668956317,8.109543705359101e-06,270.6261173749808,0.01697137623326853,3.4855642687862614,59.52108622845048,3.4855642687862614,59.52108622845048
30,nearest_neighbor,746.8673776453734,101.15462798006686,746.8673776453734,1019.8310096657276,1.0,1.0,30.0,0.0,0.0,2400.0654627804756,0.0,0.0,0.0008614474977366626,0.0008614474977366626,0.00013568565864326523,0.0008525132748764008,8.934222860261798e-06,0.0,0.0008614474977366626,0.0,58.059213147885366,0.0,58.059213147885366
30,drone_priority,1146.4570576500892,85.58068686774209,1146.4570576500892,2292.9141153001783,1.0,1.0,30.0,0.0,0.0,759.92023857975,55.95516109485226,131.94058512734782,0.00200164339854382,0.00200164339854382,0.00021169797856844722,0.0019883629435207694,1.3280455023050309e-05,0.0,0.00200164339854382,-53.50209313793973,35.620014303482215,-53.50209313793973,35.620014303482215
30,random_valid,1780.766250950098,204.02825781414168,1780.766250950098,2307.228944542408,1.0,1.0,30.0,0.0,0.0,363.5884104332924,141.78197835888707,131.91284961143424,0.0006137303973082453,0.0006137303973082453,0.0010791667730742497,0.0006008162267971784,1.2914170511066914e-05,0.0,0.0006137303973082453,-138.4313874525176,0.0,-138.4313874525176,0.0
40,vns,761.796336595416,57.72120003711397,761.796336595416,963.874321987629,1.0,1.0,40.0,0.0,0.0,3712.337013022542,-13.226917785966757,-17.964728504260567,21.036610738299785,21.036610738299785,6.340696517211753,21.031149012511595,0.005461725788190961,0.0,21.036610738299785,13.790429625846624,68.71105908779755,13.790429625846624,68.71105908779755
40,ppo,857.9969774892926,92.2815758639436,857.9969774892926,1138.5672579091788,1.0,1.0,40.0,0.0,0.0,4169.236215016365,-2.0988819210705056,-2.8332744141659147,0.033404900403693316,0.033404900403693316,0.0588614146263881,0.03339480587281287,1.0094530880451202e-05,397.2295045829378,0.033404900403693316,2.9037719684419594,64.75985057700748,2.9037719684419594,64.75985057700748
40,nearest_neighbor,883.656342664957,97.78236650897207,883.656342664957,1189.8859882605075,1.0,1.0,40.0,0.0,0.0,3120.9316073144673,0.0,0.0,0.0015046529518440365,0.0015046529518440365,0.0007533373804210488,0.0014937337266746908,1.0919225169345736e-05,0.0,0.0015046529518440365,0.0,63.70595425031461,0.0,63.70595425031461
40,drone_priority,1519.6504980570078,100.2962932637455,1519.6504980570078,3039.3009961140156,1.0,1.0,40.0,0.0,0.0,704.9786054403781,73.81886803553752,160.81047024943408,0.0034826208103913812,0.0034826208103913812,0.0004147154195677138,0.003459215424954891,2.340538543649018e-05,0.0,0.0034826208103913812,-71.9730199043217,37.58403347880993,-71.9730199043217,37.58403347880993
40,random_valid,2434.7143571686743,257.0518441875767,2434.7143571686743,3163.86409532547,1.0,1.0,40.0,0.0,0.0,18.920880840778327,178.4128943732615,170.38210124892888,0.0009614037757273763,0.0009614037757273763,0.0012089970793370888,0.0009467645804397762,1.463919528760016e-05,0.0,0.0009614037757273763,-175.52728811134773,0.0,-175.52728811134773,0.0
