#{"t_start": 1781130616.663859, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
115.472576,10,0.018563,1.0,True,10,0,0,568.3428478240967,835.6306133270264,34.46640205383301,568.3428478240967,completed
895.723414,10,0.023174,1.0,True,10,0,0,411.13223123550415,483.86166048049927,20.767471027374267,411.13223123550415,completed
356.74853,10,0.026897,1.0,True,10,0,0,554.8520793914795,674.5336475372314,31.667660522460938,554.8520793914795,completed
-230.764817,10,0.031083,1.0,True,10,0,0,828.9009704589844,828.9009704589844,44.331658363342285,828.9009704589844,completed
717.051473,10,0.035483,1.0,True,10,0,0,570.2506294250488,570.2506294250488,20.176122856140136,570.2506294250488,completed
-1013.078251,10,0.039564,1.0,True,10,0,0,729.6664600372314,1025.5662517547607,73.10777492523194,729.6664600372314,completed
-158.503452,10,0.043349,1.0,True,10,0,0,607.4055213928223,829.958122253418,46.05531024932861,607.4055213928223,completed
454.349084,10,0.047509,1.0,True,10,0,0,559.1858463287354,669.1723880767822,28.20248908996582,559.1858463287354,completed
-416.374161,10,0.051007,1.0,True,10,0,0,702.0254306793213,877.4211235046387,52.24978332519531,702.0254306793213,completed
645.025343,10,0.055576,1.0,True,10,0,0,460.6575975418091,596.0193367004395,23.147941398620606,460.6575975418091,completed
1241.774098,10,0.059047,1.0,True,10,0,0,324.9996004104614,363.73904037475586,12.655659866333007,324.9996004104614,completed
-219.263399,10,0.062918,1.0,True,10,0,0,765.2449607849121,857.7842330932617,44.07768831253052,765.2449607849121,completed
32.400614,10,0.066797,1.0,True,10,0,0,566.9150123596191,773.1519737243652,40.84916038513184,566.9150123596191,completed
777.319886,10,0.074963,1.0,True,10,0,0,434.8142795562744,491.4304676055908,24.310901594161987,434.8142795562744,completed
603.940296,10,0.078769,1.0,True,10,0,0,444.5553913116455,600.5698738098145,26.684980392456055,444.5553913116455,completed
798.628811,10,0.082769,1.0,True,10,0,0,467.7696485519409,507.5919361114502,21.367913484573364,467.7696485519409,completed
654.443779,10,0.087308,1.0,True,10,0,0,455.15236473083496,511.7212333679199,29.978572273254393,455.15236473083496,completed
177.786882,10,0.090987,1.0,True,10,0,0,594.5540180206299,749.7742099761963,36.536453819274904,594.5540180206299,completed
16.148024,10,0.094537,1.0,True,10,0,0,599.5766506195068,725.1931190490723,44.569677734375,599.5766506195068,completed
80.954763,10,0.098121,1.0,True,10,0,0,662.3289985656738,814.8532371520996,35.76546382904053,662.3289985656738,completed
214.732878,10,0.102266,1.0,True,10,0,0,564.812479019165,652.5654182434082,38.42788372039795,564.812479019165,completed
-77.334974,10,0.106351,1.0,True,10,0,0,728.6498870849609,964.3041534423828,32.22052364349365,728.6498870849609,completed
238.608151,10,0.110378,1.0,True,10,0,0,614.3681964874268,773.1277256011963,31.616521644592286,614.3681964874268,completed
-904.316842,10,0.114361,1.0,True,10,0,0,881.253059387207,1150.7868881225586,57.4849714756012,881.253059387207,completed
555.794242,10,0.117928,1.0,True,10,0,0,504.9179992675781,592.522891998291,26.47398886680603,504.9179992675781,completed
372.531498,10,0.1222,1.0,True,10,0,0,479.29177141189575,658.7805600166321,35.261741161346436,479.29177141189575,completed
566.529371,10,0.125726,1.0,True,10,0,0,625.3540344238281,625.3540344238281,24.26843852996826,625.3540344238281,completed
171.609658,10,0.130294,1.0,True,10,0,0,552.124195098877,692.9481773376465,38.743641471862794,552.124195098877,completed
311.760278,10,0.133945,1.0,True,10,0,0,523.0145225524902,605.7722415924072,38.6540771484375,523.0145225524902,completed
466.222871,10,0.13796,1.0,True,10,0,0,680.4959259033203,680.4959259033203,24.596702766418456,680.4959259033203,completed
636.067977,10,0.141401,1.0,True,10,0,0,511.339492559433,635.5382723808289,23.651811408996583,511.339492559433,completed
-24.525285,10,0.144923,1.0,True,10,0,0,619.326358795166,783.3321762084961,41.56320381164551,619.326358795166,completed
168.638207,10,0.148991,1.0,True,10,0,0,540.7679920196533,719.2727527618408,37.785048484802246,540.7679920196533,completed
716.92317,10,0.152995,1.0,True,10,0,0,498.54905223846436,561.888542175293,22.7935001373291,498.54905223846436,completed
516.037477,10,0.156784,1.0,True,10,0,0,561.1618118286133,705.0391712188721,21.836117362976076,561.1618118286133,completed
302.441863,10,0.160381,1.0,True,10,0,0,547.6783599853516,725.1488723754883,30.564368057250977,547.6783599853516,completed
-1523.378635,10,0.164279,1.0,True,10,0,0,931.2703475952148,1206.454216003418,83.8758394241333,931.2703475952148,completed
642.088779,10,0.167654,1.0,True,10,0,0,434.9000549316406,580.5010986328125,26.170998954772948,434.9000549316406,completed
-237.421943,10,0.171893,1.0,True,10,0,0,606.5677299499512,833.764347076416,49.817026138305664,606.5677299499512,completed
-762.16333,10,0.175743,1.0,True,10,0,0,621.2853164672852,931.110652923584,71.50852108001709,621.2853164672852,completed
288.140471,10,0.179792,1.0,True,10,0,0,605.8893947601318,757.4991703033447,26.503840255737305,605.8893947601318,completed
839.782865,10,0.183255,1.0,True,10,0,0,469.33786964416504,538.4558334350586,18.815649843215944,469.33786964416504,completed
544.126435,10,0.18747,1.0,True,10,0,0,469.4904270172119,605.397819519043,28.662085342407227,469.4904270172119,completed
662.123358,10,0.190983,1.0,True,10,0,0,609.2096786499023,834.2992305755615,10.981084060668945,609.2096786499023,completed
314.669138,10,0.194444,1.0,True,10,0,0,545.3201446533203,722.4446868896484,31.422480964660643,545.3201446533203,completed
775.774804,10,0.199051,1.0,True,10,0,0,496.85683250427246,565.5918922424316,20.948000741004943,496.85683250427246,completed
-225.998566,10,0.202746,1.0,True,10,0,0,825.6470108032227,825.6470108032227,43.11993236541748,825.6470108032227,completed
323.952545,10,0.206826,1.0,True,10,0,0,593.0635948181152,785.3348274230957,27.317049407958983,593.0635948181152,completed
162.922416,10,0.210426,1.0,True,10,0,0,595.0191345214844,742.099479675293,36.43783378601074,595.0191345214844,completed
792.055425,10,0.214924,1.0,True,10,0,0,479.45916175842285,558.2194137573242,19.811386156082154,479.45916175842285,completed
661.192805,10,0.21889,1.0,True,10,0,0,520.3817901611328,576.9979782104492,22.844017267227173,520.3817901611328,completed
