#{"t_start": 1781130616.994331, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
729.800617,10,0.038913,1.0,True,10,0,0,568.3428478240967,835.6306133270264,34.46640205383301,568.3428478240967,completed
1160.874103,10,0.043409,1.0,True,10,0,0,431.03559732437134,518.6404900550842,21.478715419769287,431.03559732437134,completed
915.10174,10,0.047536,1.0,True,10,0,0,554.8520793914795,674.5336475372314,31.667660522460938,554.8520793914795,completed
646.278176,10,0.051439,1.0,True,10,0,0,790.4246025085449,790.4246025085449,40.48402156829834,790.4246025085449,completed
1020.57393,10,0.055216,1.0,True,10,0,0,570.2506294250488,570.2506294250488,20.176122856140136,570.2506294250488,completed
424.077247,10,0.059449,1.0,True,10,0,0,729.6664600372314,1025.5662517547607,73.10777492523194,729.6664600372314,completed
712.602753,10,0.06295,1.0,True,10,0,0,607.4055213928223,829.958122253418,46.05531024932861,607.4055213928223,completed
918.398865,10,0.06706,1.0,True,10,0,0,559.1858463287354,669.1723880767822,28.20248908996582,559.1858463287354,completed
603.621506,10,0.070524,1.0,True,10,0,0,702.0254306793213,877.4211235046387,52.24978332519531,702.0254306793213,completed
1057.984171,10,0.074322,1.0,True,10,0,0,460.6575975418091,596.0193367004395,23.147941398620606,460.6575975418091,completed
1394.887295,10,0.077661,1.0,True,10,0,0,324.9996004104614,363.73904037475586,12.655659866333007,324.9996004104614,completed
878.690446,10,0.081238,1.0,True,10,0,0,608.9751710891724,678.1131372451782,27.91543674468994,608.9751710891724,completed
799.383821,10,0.084943,1.0,True,10,0,0,566.9150123596191,773.1519737243652,40.84916038513184,566.9150123596191,completed
1188.537918,10,0.088435,1.0,True,10,0,0,434.8142795562744,491.4304676055908,24.310901594161987,434.8142795562744,completed
952.593758,10,0.09195,1.0,True,10,0,0,504.3798370361328,667.9803085327148,27.83233222961426,504.3798370361328,completed
1150.987081,10,0.095182,1.0,True,10,0,0,467.7696485519409,507.5919361114502,21.367913484573364,467.7696485519409,completed
1154.015224,10,0.098859,1.0,True,10,0,0,455.15236473083496,511.7212333679199,29.978572273254393,455.15236473083496,completed
808.515958,10,0.102307,1.0,True,10,0,0,594.5540180206299,749.7742099761963,36.536453819274904,594.5540180206299,completed
832.541579,10,0.105835,1.0,True,10,0,0,599.5766506195068,725.1931190490723,44.569677734375,599.5766506195068,completed
696.26404,10,0.109394,1.0,True,10,0,0,662.3289985656738,814.8532371520996,35.76546382904053,662.3289985656738,completed
933.290553,10,0.112787,1.0,True,10,0,0,564.812479019165,652.5654182434082,38.42788372039795,564.812479019165,completed
492.075499,10,0.116299,1.0,True,10,0,0,728.6498870849609,964.3041534423828,32.22052364349365,728.6498870849609,completed
664.088067,10,0.119711,1.0,True,10,0,0,666.8681774139404,841.6282062530518,39.24751529693604,666.8681774139404,completed
195.382587,10,0.123138,1.0,True,10,0,0,881.253059387207,1150.7868881225586,57.4849714756012,881.253059387207,completed
1035.274019,10,0.126351,1.0,True,10,0,0,504.9179992675781,592.522891998291,26.47398886680603,504.9179992675781,completed
977.766321,10,0.129507,1.0,True,10,0,0,479.29177141189575,658.7805600166321,35.261741161346436,479.29177141189575,completed
926.898141,10,0.132667,1.0,True,10,0,0,625.3540344238281,625.3540344238281,24.26843852996826,625.3540344238281,completed
896.482488,10,0.135815,1.0,True,10,0,0,552.124195098877,692.9481773376465,38.743641471862794,552.124195098877,completed
805.002093,10,0.139143,1.0,True,10,0,0,627.4176940917969,735.0429916381836,50.91149387359619,627.4176940917969,completed
833.156926,10,0.142239,1.0,True,10,0,0,680.4959259033203,680.4959259033203,24.596702766418456,680.4959259033203,completed
984.104205,10,0.1454,1.0,True,10,0,0,511.339492559433,635.5382723808289,23.651811408996583,511.339492559433,completed
756.738791,10,0.148594,1.0,True,10,0,0,619.326358795166,783.3321762084961,41.56320381164551,619.326358795166,completed
874.339177,10,0.1517,1.0,True,10,0,0,540.7679920196533,719.2727527618408,37.785048484802246,540.7679920196533,completed
1072.793172,10,0.154781,1.0,True,10,0,0,498.54905223846436,561.888542175293,22.7935001373291,498.54905223846436,completed
497.571783,10,0.158418,1.0,True,10,0,0,784.801836013794,928.6791954040527,44.20011978149414,784.801836013794,completed
776.566154,10,0.161697,1.0,True,10,0,0,590.9233093261719,780.7998733520508,20.585417366027833,590.9233093261719,completed
104.138154,10,0.165371,1.0,True,10,0,0,931.2703475952148,1206.454216003418,83.8758394241333,931.2703475952148,completed
1090.508759,10,0.168998,1.0,True,10,0,0,434.9000549316406,580.5010986328125,26.170998954772948,434.9000549316406,completed
708.91858,10,0.172415,1.0,True,10,0,0,606.5677299499512,833.764347076416,49.817026138305664,606.5677299499512,completed
593.007092,10,0.175812,1.0,True,10,0,0,621.2853164672852,931.110652923584,71.50852108001709,621.2853164672852,completed
676.909401,10,0.178982,1.0,True,10,0,0,682.0928564071655,821.6680774688721,37.2177827835083,682.0928564071655,completed
1116.095861,10,0.182086,1.0,True,10,0,0,469.33786964416504,538.4558334350586,18.815649843215944,469.33786964416504,completed
1042.368142,10,0.185513,1.0,True,10,0,0,469.4904270172119,605.397819519043,28.662085342407227,469.4904270172119,completed
706.745039,10,0.188731,1.0,True,10,0,0,609.2096786499023,834.2992305755615,10.981084060668945,609.2096786499023,completed
868.118758,10,0.192108,1.0,True,10,0,0,545.3201446533203,722.4446868896484,31.422480964660643,545.3201446533203,completed
1069.734819,10,0.195293,1.0,True,10,0,0,496.85683250427246,565.5918922424316,20.948000741004943,496.85683250427246,completed
586.400082,10,0.198419,1.0,True,10,0,0,825.6470108032227,825.6470108032227,43.11993236541748,825.6470108032227,completed
694.84591,10,0.201635,1.0,True,10,0,0,620.0091743469238,839.2259864807129,25.843426513671876,620.0091743469238,completed
991.211461,10,0.204796,1.0,True,10,0,0,492.35303497314453,639.4333801269531,26.58050117492676,492.35303497314453,completed
897.139661,10,0.208266,1.0,True,10,0,0,579.3083229064941,677.5230407714844,35.18995327949524,579.3083229064941,completed
1043.07315,10,0.211475,1.0,True,10,0,0,520.3817901611328,576.9979782104492,22.844017267227173,520.3817901611328,completed
